;mean;amin;amax;median;std;var
21412;1.0;1.0;1.0;1.0;0.0;0.0
21516;1.0;1.0;1.0;1.0;0.0;0.0
21576;1.0;1.0;1.0;1.0;0.0;0.0
21608;1.0;1.0;1.0;1.0;0.0;0.0
21712;1.0;1.0;1.0;1.0;0.0;0.0
21732;1.0;1.0;1.0;1.0;0.0;0.0
21752;1.0;1.0;1.0;1.0;0.0;0.0
21824;1.0;1.0;1.0;1.0;0.0;0.0
21908;1.0;1.0;1.0;1.0;0.0;0.0
21944;1.0;1.0;1.0;1.0;0.0;0.0
21964;1.0;1.0;1.0;1.0;0.0;0.0
22032;1.0;1.0;1.0;1.0;0.0;0.0
22036;1.0;1.0;1.0;1.0;0.0;0.0
22072;1.0;1.0;1.0;1.0;0.0;0.0
22104;1.0;1.0;1.0;1.0;0.0;0.0
22124;1.0;1.0;1.0;1.0;0.0;0.0
22236;1.0;1.0;1.0;1.0;0.0;0.0
22344;1.0;1.0;1.0;1.0;0.0;0.0
22364;1.0;1.0;1.0;1.0;0.0;0.0
22404;1.0;1.0;1.0;1.0;0.0;0.0
22416;1.0;1.0;1.0;1.0;0.0;0.0
22524;1.0;1.0;1.0;1.0;0.0;0.0
22608;1.0;1.0;1.0;1.0;0.0;0.0
22672;1.0;1.0;1.0;1.0;0.0;0.0
22700;1.0;1.0;1.0;1.0;0.0;0.0
22704;1.0;1.0;1.0;1.0;0.0;0.0
22728;1.0;1.0;1.0;1.0;0.0;0.0
22736;1.0;1.0;1.0;1.0;0.0;0.0
22752;1.0;1.0;1.0;1.0;0.0;0.0
22812;1.0;1.0;1.0;1.0;0.0;0.0
22840;1.0;1.0;1.0;1.0;0.0;0.0
22884;1.0;1.0;1.0;1.0;0.0;0.0
22908;1.0;1.0;1.0;1.0;0.0;0.0
22948;1.0;1.0;1.0;1.0;0.0;0.0
22964;1.0;1.0;1.0;1.0;0.0;0.0
22996;1.0;1.0;1.0;1.0;0.0;0.0
23012;1.0;1.0;1.0;1.0;0.0;0.0
23016;1.0;1.0;1.0;1.0;0.0;0.0
23076;1.0;1.0;1.0;1.0;0.0;0.0
23116;1.0;1.0;1.0;1.0;0.0;0.0
23176;1.0;1.0;1.0;1.0;0.0;0.0
23212;1.0;1.0;1.0;1.0;0.0;0.0
23316;1.0;1.0;1.0;1.0;0.0;0.0
23396;1.0;1.0;1.0;1.0;0.0;0.0
23412;1.0;1.0;1.0;1.0;0.0;0.0
23424;1.0;1.0;1.0;1.0;0.0;0.0
23456;1.0;1.0;1.0;1.0;0.0;0.0
23460;1.0;1.0;1.0;1.0;0.0;0.0
23524;1.0;1.0;1.0;1.0;0.0;0.0
23640;1.0;1.0;1.0;1.0;0.0;0.0
23656;1.0;1.0;1.0;1.0;0.0;0.0
23684;1.0;1.0;1.0;1.0;0.0;0.0
23780;1.0;1.0;1.0;1.0;0.0;0.0
23948;1.0;1.0;1.0;1.0;0.0;0.0
24096;1.0;1.0;1.0;1.0;0.0;0.0
24164;1.0;1.0;1.0;1.0;0.0;0.0
24244;1.0;1.0;1.0;1.0;0.0;0.0
24592;1.0;1.0;1.0;1.0;0.0;0.0
24664;1.0;1.0;1.0;1.0;0.0;0.0
24696;1.0;1.0;1.0;1.0;0.0;0.0
24704;1.0;1.0;1.0;1.0;0.0;0.0
24736;1.0;1.0;1.0;1.0;0.0;0.0
24840;1.0;1.0;1.0;1.0;0.0;0.0
24984;1.0;1.0;1.0;1.0;0.0;0.0
25072;1.0;1.0;1.0;1.0;0.0;0.0
25168;1.0;1.0;1.0;1.0;0.0;0.0
25256;1.0;1.0;1.0;1.0;0.0;0.0
25268;1.0;1.0;1.0;1.0;0.0;0.0
25428;1.0;1.0;1.0;1.0;0.0;0.0
25440;1.0;1.0;1.0;1.0;0.0;0.0
25452;1.0;1.0;1.0;1.0;0.0;0.0
25532;1.0;1.0;1.0;1.0;0.0;0.0
25768;1.0;1.0;1.0;1.0;0.0;0.0
25876;1.0;1.0;1.0;1.0;0.0;0.0
25920;1.0;1.0;1.0;1.0;0.0;0.0
25964;1.0;1.0;1.0;1.0;0.0;0.0
25976;1.0;1.0;1.0;1.0;0.0;0.0
25996;1.0;1.0;1.0;1.0;0.0;0.0
26068;1.0;1.0;1.0;1.0;0.0;0.0
26088;1.0;1.0;1.0;1.0;0.0;0.0
26096;1.0;1.0;1.0;1.0;0.0;0.0
26188;1.0;1.0;1.0;1.0;0.0;0.0
26244;1.0;1.0;1.0;1.0;0.0;0.0
26260;1.0;1.0;1.0;1.0;0.0;0.0
26272;1.0;1.0;1.0;1.0;0.0;0.0
26308;1.0;1.0;1.0;1.0;0.0;0.0
26440;1.0;1.0;1.0;1.0;0.0;0.0
26448;1.0;1.0;1.0;1.0;0.0;0.0
26464;1.0;1.0;1.0;1.0;0.0;0.0
26480;1.0;1.0;1.0;1.0;0.0;0.0
26536;1.0;1.0;1.0;1.0;0.0;0.0
26592;1.0;1.0;1.0;1.0;0.0;0.0
26620;1.0;1.0;1.0;1.0;0.0;0.0
26656;1.0;1.0;1.0;1.0;0.0;0.0
26696;1.0;1.0;1.0;1.0;0.0;0.0
26704;1.0;1.0;1.0;1.0;0.0;0.0
26720;1.0;1.0;1.0;1.0;0.0;0.0
26792;1.0;1.0;1.0;1.0;0.0;0.0
26796;1.0;1.0;1.0;1.0;0.0;0.0
26804;1.0;1.0;1.0;1.0;0.0;0.0
26832;1.0;1.0;1.0;1.0;0.0;0.0
26868;1.0;1.0;1.0;1.0;0.0;0.0
26924;1.0;1.0;1.0;1.0;0.0;0.0
27028;1.0;1.0;1.0;1.0;0.0;0.0
27048;1.0;1.0;1.0;1.0;0.0;0.0
27072;1.0;1.0;1.0;1.0;0.0;0.0
27200;1.0;1.0;1.0;1.0;0.0;0.0
