;mean;amin;amax;median;std;var
26024;1.0;1.0;1.0;1.0;0.0;0.0
26040;1.0;1.0;1.0;1.0;0.0;0.0
26084;1.0;1.0;1.0;1.0;0.0;0.0
26088;1.0;1.0;1.0;1.0;0.0;0.0
26096;1.0;1.0;1.0;1.0;0.0;0.0
26112;1.0;1.0;1.0;1.0;0.0;0.0
26136;1.0;1.0;1.0;1.0;0.0;0.0
26188;1.0;1.0;1.0;1.0;0.0;0.0
26216;0.0;0.0;0.0;0.0;0.0;0.0
26248;1.0;1.0;1.0;1.0;0.0;0.0
26308;1.0;1.0;1.0;1.0;0.0;0.0
26420;1.0;1.0;1.0;1.0;0.0;0.0
26464;1.0;1.0;1.0;1.0;0.0;0.0
26508;1.0;1.0;1.0;1.0;0.0;0.0
26536;1.0;1.0;1.0;1.0;0.0;0.0
26592;1.0;1.0;1.0;1.0;0.0;0.0
26616;1.0;1.0;1.0;1.0;0.0;0.0
26624;1.0;1.0;1.0;1.0;0.0;0.0
26692;1.0;1.0;1.0;1.0;0.0;0.0
26732;1.0;1.0;1.0;1.0;0.0;0.0
26748;1.0;1.0;1.0;1.0;0.0;0.0
26776;1.0;1.0;1.0;1.0;0.0;0.0
26788;1.0;1.0;1.0;1.0;0.0;0.0
26792;1.0;1.0;1.0;1.0;0.0;0.0
26912;1.0;1.0;1.0;1.0;0.0;0.0
27136;1.0;1.0;1.0;1.0;0.0;0.0
27260;0.0;0.0;0.0;0.0;0.0;0.0
27268;1.0;1.0;1.0;1.0;0.0;0.0
27300;1.0;1.0;1.0;1.0;0.0;0.0
27312;1.0;1.0;1.0;1.0;0.0;0.0
27416;1.0;1.0;1.0;1.0;0.0;0.0
27428;1.0;1.0;1.0;1.0;0.0;0.0
27456;1.0;1.0;1.0;1.0;0.0;0.0
27480;1.0;1.0;1.0;1.0;0.0;0.0
27500;1.0;1.0;1.0;1.0;0.0;0.0
27548;1.0;1.0;1.0;1.0;0.0;0.0
27636;1.0;1.0;1.0;1.0;0.0;0.0
27660;1.0;1.0;1.0;1.0;0.0;0.0
27684;1.0;1.0;1.0;1.0;0.0;0.0
27776;1.0;1.0;1.0;1.0;0.0;0.0
27784;1.0;1.0;1.0;1.0;0.0;0.0
27800;1.0;1.0;1.0;1.0;0.0;0.0
27864;1.0;1.0;1.0;1.0;0.0;0.0
27904;1.0;1.0;1.0;1.0;0.0;0.0
27948;1.0;1.0;1.0;1.0;0.0;0.0
27968;1.0;1.0;1.0;1.0;0.0;0.0
28024;1.0;1.0;1.0;1.0;0.0;0.0
28060;1.0;1.0;1.0;1.0;0.0;0.0
28148;1.0;1.0;1.0;1.0;0.0;0.0
28168;1.0;1.0;1.0;1.0;0.0;0.0
28244;1.0;1.0;1.0;1.0;0.0;0.0
28336;1.0;1.0;1.0;1.0;0.0;0.0
28512;1.0;1.0;1.0;1.0;0.0;0.0
28552;1.0;1.0;1.0;1.0;0.0;0.0
28576;1.0;1.0;1.0;1.0;0.0;0.0
28668;1.0;1.0;1.0;1.0;0.0;0.0
28692;1.0;1.0;1.0;1.0;0.0;0.0
28704;1.0;1.0;1.0;1.0;0.0;0.0
28772;1.0;1.0;1.0;1.0;0.0;0.0
28876;1.0;1.0;1.0;1.0;0.0;0.0
28920;1.0;1.0;1.0;1.0;0.0;0.0
28932;1.0;1.0;1.0;1.0;0.0;0.0
29020;1.0;1.0;1.0;1.0;0.0;0.0
29024;1.0;1.0;1.0;1.0;0.0;0.0
29076;1.0;1.0;1.0;1.0;0.0;0.0
29100;1.0;1.0;1.0;1.0;0.0;0.0
29112;1.0;1.0;1.0;1.0;0.0;0.0
29196;1.0;1.0;1.0;1.0;0.0;0.0
29228;1.0;1.0;1.0;1.0;0.0;0.0
29368;1.0;1.0;1.0;1.0;0.0;0.0
29404;1.0;1.0;1.0;1.0;0.0;0.0
29440;1.0;1.0;1.0;1.0;0.0;0.0
29464;1.0;1.0;1.0;1.0;0.0;0.0
29588;1.0;1.0;1.0;1.0;0.0;0.0
29696;1.0;1.0;1.0;1.0;0.0;0.0
29800;1.0;1.0;1.0;1.0;0.0;0.0
29836;1.0;1.0;1.0;1.0;0.0;0.0
29852;1.0;1.0;1.0;1.0;0.0;0.0
29868;0.0;0.0;0.0;0.0;0.0;0.0
29884;1.0;1.0;1.0;1.0;0.0;0.0
29924;1.0;1.0;1.0;1.0;0.0;0.0
29972;1.0;1.0;1.0;1.0;0.0;0.0
30004;1.0;1.0;1.0;1.0;0.0;0.0
30020;1.0;1.0;1.0;1.0;0.0;0.0
30072;1.0;1.0;1.0;1.0;0.0;0.0
30100;1.0;1.0;1.0;1.0;0.0;0.0
30164;1.0;1.0;1.0;1.0;0.0;0.0
30208;1.0;1.0;1.0;1.0;0.0;0.0
30244;1.0;1.0;1.0;1.0;0.0;0.0
30268;1.0;1.0;1.0;1.0;0.0;0.0
30284;1.0;1.0;1.0;1.0;0.0;0.0
30360;1.0;1.0;1.0;1.0;0.0;0.0
30432;1.0;1.0;1.0;1.0;0.0;0.0
30456;1.0;1.0;1.0;1.0;0.0;0.0
30504;1.0;1.0;1.0;1.0;0.0;0.0
30564;1.0;1.0;1.0;1.0;0.0;0.0
30668;1.0;1.0;1.0;1.0;0.0;0.0
30764;1.0;1.0;1.0;1.0;0.0;0.0
30792;1.0;1.0;1.0;1.0;0.0;0.0
30796;1.0;1.0;1.0;1.0;0.0;0.0
30840;1.0;1.0;1.0;1.0;0.0;0.0
30844;1.0;1.0;1.0;1.0;0.0;0.0
30928;1.0;1.0;1.0;1.0;0.0;0.0
31040;1.0;1.0;1.0;1.0;0.0;0.0
31080;1.0;1.0;1.0;1.0;0.0;0.0
31104;1.0;1.0;1.0;1.0;0.0;0.0
31204;1.0;1.0;1.0;1.0;0.0;0.0
31376;1.0;1.0;1.0;1.0;0.0;0.0
31528;1.0;1.0;1.0;1.0;0.0;0.0
31608;1.0;1.0;1.0;1.0;0.0;0.0
31700;1.0;1.0;1.0;1.0;0.0;0.0
32124;1.0;1.0;1.0;1.0;0.0;0.0
32236;1.0;1.0;1.0;1.0;0.0;0.0
32280;1.0;1.0;1.0;1.0;0.0;0.0
32292;1.0;1.0;1.0;1.0;0.0;0.0
32356;1.0;1.0;1.0;1.0;0.0;0.0
32460;1.0;1.0;1.0;1.0;0.0;0.0
32660;1.0;1.0;1.0;1.0;0.0;0.0
32784;1.0;1.0;1.0;1.0;0.0;0.0
32908;1.0;1.0;1.0;1.0;0.0;0.0
32992;1.0;1.0;1.0;1.0;0.0;0.0
33012;1.0;1.0;1.0;1.0;0.0;0.0
33200;1.0;1.0;1.0;1.0;0.0;0.0
33220;1.0;1.0;1.0;1.0;0.0;0.0
33232;1.0;1.0;1.0;1.0;0.0;0.0
33324;1.0;1.0;1.0;1.0;0.0;0.0
33592;1.0;1.0;1.0;1.0;0.0;0.0
33708;1.0;1.0;1.0;1.0;0.0;0.0
33752;1.0;1.0;1.0;1.0;0.0;0.0
33776;1.0;1.0;1.0;1.0;0.0;0.0
33788;1.0;1.0;1.0;1.0;0.0;0.0
33800;1.0;1.0;1.0;1.0;0.0;0.0
33916;1.0;1.0;1.0;1.0;0.0;0.0
33956;1.0;1.0;1.0;1.0;0.0;0.0
33976;1.0;1.0;1.0;1.0;0.0;0.0
34016;1.0;1.0;1.0;1.0;0.0;0.0
34044;1.0;1.0;1.0;1.0;0.0;0.0
34116;1.0;1.0;1.0;1.0;0.0;0.0
34136;1.0;1.0;1.0;1.0;0.0;0.0
34140;1.0;1.0;1.0;1.0;0.0;0.0
34200;1.0;1.0;1.0;1.0;0.0;0.0
34356;1.0;1.0;1.0;1.0;0.0;0.0
34372;1.0;1.0;1.0;1.0;0.0;0.0
34380;1.0;1.0;1.0;1.0;0.0;0.0
34408;1.0;1.0;1.0;1.0;0.0;0.0
34472;1.0;1.0;1.0;1.0;0.0;0.0
34524;1.0;1.0;1.0;1.0;0.0;0.0
34564;1.0;1.0;1.0;1.0;0.0;0.0
34588;1.0;1.0;1.0;1.0;0.0;0.0
34620;1.0;1.0;1.0;1.0;0.0;0.0
34624;1.0;1.0;1.0;1.0;0.0;0.0
34656;1.0;1.0;1.0;1.0;0.0;0.0
34740;1.0;1.0;1.0;1.0;0.0;0.0
34744;1.0;1.0;1.0;1.0;0.0;0.0
34748;1.0;1.0;1.0;1.0;0.0;0.0
34776;1.0;1.0;1.0;1.0;0.0;0.0
34808;1.0;1.0;1.0;1.0;0.0;0.0
34860;1.0;1.0;1.0;1.0;0.0;0.0
34932;1.0;1.0;1.0;1.0;0.0;0.0
34948;1.0;1.0;1.0;1.0;0.0;0.0
34960;1.0;1.0;1.0;1.0;0.0;0.0
35080;1.0;1.0;1.0;1.0;0.0;0.0
35104;1.0;1.0;1.0;1.0;0.0;0.0
35192;1.0;1.0;1.0;1.0;0.0;0.0
35244;1.0;1.0;1.0;1.0;0.0;0.0
35268;1.0;1.0;1.0;1.0;0.0;0.0
35336;1.0;1.0;1.0;1.0;0.0;0.0
35420;1.0;1.0;1.0;1.0;0.0;0.0
35496;1.0;1.0;1.0;1.0;0.0;0.0
35568;1.0;1.0;1.0;1.0;0.0;0.0
35612;1.0;1.0;1.0;1.0;0.0;0.0
35636;1.0;1.0;1.0;1.0;0.0;0.0
35652;1.0;1.0;1.0;1.0;0.0;0.0
35696;1.0;1.0;1.0;1.0;0.0;0.0
35736;1.0;1.0;1.0;1.0;0.0;0.0
35816;1.0;1.0;1.0;1.0;0.0;0.0
35832;1.0;1.0;1.0;1.0;0.0;0.0
35924;1.0;1.0;1.0;1.0;0.0;0.0
36016;1.0;1.0;1.0;1.0;0.0;0.0
36056;1.0;1.0;1.0;1.0;0.0;0.0
36064;1.0;1.0;1.0;1.0;0.0;0.0
36244;1.0;1.0;1.0;1.0;0.0;0.0
36272;1.0;1.0;1.0;1.0;0.0;0.0
36596;1.0;1.0;1.0;1.0;0.0;0.0
36660;1.0;1.0;1.0;1.0;0.0;0.0
36700;1.0;1.0;1.0;1.0;0.0;0.0
36728;1.0;1.0;1.0;1.0;0.0;0.0
36752;1.0;1.0;1.0;1.0;0.0;0.0
36784;1.0;1.0;1.0;1.0;0.0;0.0
36880;1.0;1.0;1.0;1.0;0.0;0.0
36900;1.0;1.0;1.0;1.0;0.0;0.0
36944;1.0;1.0;1.0;1.0;0.0;0.0
37208;1.0;1.0;1.0;1.0;0.0;0.0
37256;1.0;1.0;1.0;1.0;0.0;0.0
37308;1.0;1.0;1.0;1.0;0.0;0.0
37340;1.0;1.0;1.0;1.0;0.0;0.0
37400;1.0;1.0;1.0;1.0;0.0;0.0
37540;1.0;1.0;1.0;1.0;0.0;0.0
37644;1.0;1.0;1.0;1.0;0.0;0.0
37724;1.0;1.0;1.0;1.0;0.0;0.0
37728;1.0;1.0;1.0;1.0;0.0;0.0
37848;1.0;1.0;1.0;1.0;0.0;0.0
37872;1.0;1.0;1.0;1.0;0.0;0.0
37888;1.0;1.0;1.0;1.0;0.0;0.0
38028;1.0;1.0;1.0;1.0;0.0;0.0
38088;1.0;1.0;1.0;1.0;0.0;0.0
38136;1.0;1.0;1.0;1.0;0.0;0.0
38228;1.0;1.0;1.0;1.0;0.0;0.0
38232;1.0;1.0;1.0;1.0;0.0;0.0
38252;1.0;1.0;1.0;1.0;0.0;0.0
38324;1.0;1.0;1.0;1.0;0.0;0.0
38328;1.0;1.0;1.0;1.0;0.0;0.0
38340;1.0;1.0;1.0;1.0;0.0;0.0
38424;1.0;1.0;1.0;1.0;0.0;0.0
38544;1.0;1.0;1.0;1.0;0.0;0.0
38596;1.0;1.0;1.0;1.0;0.0;0.0
38664;1.0;1.0;1.0;1.0;0.0;0.0
38752;1.0;1.0;1.0;1.0;0.0;0.0
38792;1.0;1.0;1.0;1.0;0.0;0.0
38916;1.0;1.0;1.0;1.0;0.0;0.0
39004;1.0;1.0;1.0;1.0;0.0;0.0
39012;1.0;1.0;1.0;1.0;0.0;0.0
39016;1.0;1.0;1.0;1.0;0.0;0.0
39024;1.0;1.0;1.0;1.0;0.0;0.0
39156;1.0;1.0;1.0;1.0;0.0;0.0
39176;1.0;1.0;1.0;1.0;0.0;0.0
39212;1.0;1.0;1.0;1.0;0.0;0.0
39372;1.0;1.0;1.0;1.0;0.0;0.0
39532;1.0;1.0;1.0;1.0;0.0;0.0
39548;1.0;1.0;1.0;1.0;0.0;0.0
39572;1.0;1.0;1.0;1.0;0.0;0.0
39616;1.0;1.0;1.0;1.0;0.0;0.0
39644;1.0;1.0;1.0;1.0;0.0;0.0
39648;1.0;1.0;1.0;1.0;0.0;0.0
39664;1.0;1.0;1.0;1.0;0.0;0.0
